"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";
"Hostal";"2";"EL RASTRO";"PLAZA DEL RASTRO, 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211218";"920211219";"";"920251626";"info@elrastroavila.com";"";"";"";
"Hotel";"2";"LAS CANCELAS";"CRUZ VIEJA, 6";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920212249";"920212250";"";"920212230";"reservas@lascancelas.com";"www.lascancelas.com";"";"";
"Pensión";"";"EL SEGOVIANO";"PLAZA CONSTITUCION, 10";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"920281008";"";"";"";"";"";"";"";
"Hotel";"2";"MIRADOR DEL TIETAR";"RISQUILLO, 22";"05460";"Ávila";"Gavilanes";"GAVILANES";"";"920384867";"";"";"";"hotel@miradordeltietar.com";"www.miradordeltietar.com";"";"";
"Hostal";"1";"LA PARRA";"PZA. MAYOR, 10";"05240";"Ávila";"Navalperal de Pinares";"NAVALPERAL DE PINARES";"NAVALPERAL DE PINARES";"918980015";"";"";"";"";"";"";"";
"Hostal";"2";"ALMANZOR";"CTRA. BARCO, KM. 11";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"NAVARREDONDA DE GREDOS";"920348010";"";"";"920348114";"info@hostalalmanzor.com; reservas@hostalalmanzor.com";"www.hostalalmanzor.com";"";"";
"Hostal";"1";"EL CERRO";"AVENIDA ARTURO DUPERIER, 55";"05470";"Ávila";"Pedro Bernardo";"PEDRO BERNARDO";"PEDRO BERNARDO";"920389103";"";"";"";"";"";"";"";
"Pensión";"";"LA CARRETERA";"NICOLAS MAQUEDA, 35";"05492";"Ávila";"Poyales del Hoyo";"POYALES DEL HOYO";"";"920390007";"";"";"";"";"";"";"";
"Hostal";"1";"VENTA RASQUILLA";"CTRA. AVILA-ARENAS DE SAN PEDRO";"05132";"Ávila";"San Martín del Pimpollar";"SAN MARTIN DEL PIMPOLLAR";"SAN MARTIN DEL PIMPOLLAR";"920207571";"920207583";"";"";"";"";"";"";
"Pensión";"";"LA EXTREMEÑA (CIERRE TEMPORAL)";"AVENIDA DE MADRID,  16";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920226463";"";"";"";"";"";"";"";
"Pensión";"";"PENSIÓN CRISTINA (BAJA TEMPORAL)";"AVDA. RAMON Y CAJAL, 75";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920380109";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"EL CASTILLO";"CTRA. CANDELEDA, 2";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920370091";"";"";"";"hostalelcastillo@gmail.com";"";"";"";
"Hostal";"1";"EL REFUGIO DE GREDOS";"PAJIZO, S/N";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"NAVARREDONDA DE GREDOS";"920348047";"608928454";"650901899";"920348114";"HOSTALREFUGIODEGREDOS@WANADOO.ES";"WWW.REFUGIODEGREDOS.COM";"";"";
"Hotel";"4";"CUATRO POSTES";"CARRETERA DE SALAMANCA,  23";"05002";"Ávila";"Ávila";"AVILA";"AVILA";"920220000";"";"";"920250000";"hotel4p@futurnet.es";"www.hotel-cuatropostes.es";"";"";
"Hotel Residencia";"2";"REY NIÑO";"PLAZA JOSE TOME, 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920255210";"920257450";"";"";"";"";"";"";
"Pensión";"";"AMPARITO";"GRAL. MOLA, 12";"05230";"Ávila";"Navas del Marqués (Las)";"NAVAS DEL MARQUES (LAS)";"NAVAS DEL MARQUES (LAS)";"918972155";"";"";"";"";"";"";"";
"Hostal";"1";"EL MADROÑALEJO";"CTRA. N-403,  KM. 102";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"920281139";"";"";"920281378";"";"";"";"";
"Hotel";"4";"PALACIO DE VALDERRABANOS";"PLAZA DE LA CATEDRAL,  9";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211023";"";"";"920251691";"reservas@hotelpalaciovalderrabanos.com";"www.hotelpalaciovalderrabanosl.com";"";"";
"Hostal";"1";"SIERRAMAR";"C/ REAL, S/N";"05293";"Ávila";"Peguerinos";"PEGUERINOS";"PEGUERINOS";"918983011";"636410642";"686363777";"";"";"";"";"";
"Hotel";"3";"SANTA TERESA";"HORNOS CALEROS, 25";"05003";"Ávila";"Ávila";"AVILA";"AVILA";"920221266";"920220211";"";"920224113";"";"";"";"";
"Pensión";"";"MADRIGAL";"CTRA. PEÑARANDA, 10";"05220";"Ávila";"Madrigal de las Altas Torres";"MADRIGAL DE LAS ALTAS TORRES";"";"920320109";"";"";"";"";"";"";"";
"Hostal";"2";"GRAN DUQUE";"PASTELERIA, 19";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920360830";"920360277";"";"920360085";"informacion@hostalgranduque.net";"www.hostalgranduque.net";"";"";
"Hostal";"1";"LA PASTORA";"CAMINO DE LA LUZ, S/N";"05480";"Ávila";"Candeleda";"CANDELEDA";"CANDELEDA";"920382127";"";"";"";"";"";"";"";
"Hostal Residencia";"1";"CAPRA HISPANICA";"CARRETERA DE AVILA, 40";"05633";"Ávila";"San Juan de Gredos";"NAVACEPEDA DE TORMES";"NAVACEPEDA DE TORMES";"920349177";"";"";"920349177";"info@caprahispanicahostal.com";"caprahispanicahostal.com";"";"";
"Hostal";"1";"PRADOS ABIERTOS";"CTRA. NACIONAL 502, KM. 72";"05410";"Ávila";"Mombeltrán";"MOMBELTRAN";"*DISEMINADO*";"920386131";"920386131";"";"";"MARIAVJ66@GMAIL.COM";"";"";"";
"Hotel";"2";"SAN ANTONIO";"PASEO DE LA ESTACION, 23";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920222979";"920227689";"";"920257226";"";"";"";"";
"Hostal";"1";"TIGARAY (CIERRE TEMPORAL)";"PASEO DE RECOLETOS, 6";"05270";"Ávila";"Tiemblo (El)";"TIEMBLO (EL)";"TIEMBLO (EL)";"918625499";"918625195";"";"";"lolaruiz@hostaltigaray.e.telefonica.net";"";"";"";
